Unnamed: 0,Unnamed: 0.1,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
19685,19685,-121.61,39.14,44.0,2035.0,476.0,1030.0,453.0,1.4661,65200.0,INLAND
13381,13381,-117.61,34.12,17.0,6709.0,1198.0,3954.0,1161.0,4.6997,156900.0,INLAND
15454,15454,-117.29,33.18,15.0,3780.0,792.0,1632.0,721.0,2.7644,111400.0,NEAR OCEAN
20036,20036,-118.93,36.1,19.0,2988.0,681.0,1654.0,576.0,2.3792,90000.0,INLAND
19921,19921,-119.34,36.32,14.0,1204.0,227.0,633.0,247.0,3.925,83800.0,INLAND
9505,9505,-123.21,39.18,17.0,2772.0,576.0,1501.0,584.0,2.6275,142100.0,<1H OCEAN
15062,15062,-116.96,32.8,16.0,3920.0,1094.0,2612.0,1023.0,1.3291,120800.0,<1H OCEAN
13104,13104,-121.32,38.41,17.0,4401.0,655.0,1970.0,639.0,5.8239,247500.0,INLAND
292,292,-122.16,37.77,45.0,2324.0,397.0,968.0,384.0,3.5739,176000.0,NEAR BAY
4958,4958,-118.29,34.01,42.0,814.0,223.0,511.0,188.0,2.3942,123200.0,<1H OCEAN
16903,16903,-122.36,37.59,20.0,2638.0,854.0,1352.0,718.0,3.5125,350600.0,NEAR OCEAN
784,784,-122.11,37.64,31.0,1487.0,280.0,854.0,301.0,5.2312,197600.0,NEAR BAY
718,718,-122.09,37.68,43.0,1415.0,348.0,569.0,293.0,2.5156,190900.0,NEAR BAY
10207,10207,-117.92,33.88,52.0,1270.0,276.0,609.0,211.0,3.75,232500.0,<1H OCEAN
5131,5131,-118.27,33.98,44.0,1722.0,457.0,2177.0,401.0,2.125,92500.0,<1H OCEAN
204,204,-122.23,37.78,44.0,2340.0,825.0,2813.0,751.0,1.6009,118100.0,NEAR BAY
13589,13589,-117.3,34.12,50.0,1629.0,437.0,1581.0,394.0,2.2019,63500.0,INLAND
4852,4852,-118.31,34.03,47.0,1315.0,,785.0,245.0,1.23,138400.0,<1H OCEAN
2193,2193,-119.99,36.8,45.0,1270.0,242.0,598.0,214.0,3.2813,105400.0,INLAND
16722,16722,-120.68,35.48,15.0,2608.0,525.0,1351.0,502.0,2.7798,205800.0,<1H OCEAN
15471,15471,-117.2,33.15,11.0,4091.0,864.0,1927.0,765.0,3.0139,199000.0,<1H OCEAN
2877,2877,-118.98,35.38,39.0,1497.0,383.0,1182.0,355.0,1.0648,50000.0,INLAND
18523,18523,-122.06,36.98,15.0,3385.0,669.0,1571.0,615.0,4.2254,320900.0,NEAR OCEAN
19741,19741,-122.57,39.9,15.0,3873.0,810.0,1697.0,627.0,2.4555,55600.0,INLAND
1918,1918,-120.88,38.91,15.0,3876.0,778.0,1960.0,691.0,2.9019999999999997,127300.0,INLAND
12003,12003,-117.57,33.9,7.0,3797.0,850.0,2369.0,720.0,3.5525,137600.0,INLAND
12006,12006,-117.52,33.89,2.0,17978.0,3217.0,7305.0,2463.0,5.1695,220800.0,INLAND
19452,19452,-120.94,37.68,4.0,13315.0,2424.0,6420.0,2289.0,4.2471,162100.0,INLAND
8723,8723,-118.37,33.84,35.0,1792.0,322.0,978.0,326.0,4.9583,342800.0,<1H OCEAN
19423,19423,-121.04,37.69,5.0,9601.0,1639.0,4449.0,1575.0,4.5332,195500.0,INLAND
4291,4291,-118.3,34.1,36.0,2284.0,899.0,1964.0,839.0,1.9297,203300.0,<1H OCEAN
9171,9171,-118.66,34.43,9.0,2356.0,469.0,1556.0,386.0,3.775,155000.0,INLAND
15633,15633,-122.41,37.8,52.0,1724.0,416.0,1016.0,395.0,3.3839,400000.0,NEAR BAY
6857,6857,-118.16,34.06,27.0,1675.0,274.0,785.0,275.0,5.827999999999999,301100.0,<1H OCEAN
16312,16312,-121.33,38.0,32.0,4474.0,929.0,2177.0,884.0,3.2889,98900.0,INLAND
15045,15045,-116.92,32.77,16.0,2770.0,406.0,1269.0,429.0,6.6783,275000.0,<1H OCEAN
5425,5425,-118.42,34.02,34.0,2243.0,444.0,973.0,413.0,4.9676,414100.0,<1H OCEAN
7256,7256,-118.16,34.0,37.0,1341.0,336.0,1233.0,306.0,3.6583,150500.0,<1H OCEAN
19640,19640,-120.79,37.53,20.0,1417.0,263.0,853.0,263.0,3.3083,108300.0,INLAND
2609,2609,-124.01,40.89,28.0,1470.0,336.0,811.0,314.0,2.4559,75600.0,<1H OCEAN
10500,10500,-117.69,33.47,23.0,3499.0,722.0,1480.0,634.0,3.86,300000.0,<1H OCEAN
9198,9198,-119.59,37.39,19.0,3273.0,611.0,1164.0,481.0,3.5446,106500.0,INLAND
1033,1033,-120.65,38.5,10.0,1783.0,337.0,638.0,262.0,2.65,116700.0,INLAND
9668,9668,-119.44,38.53,20.0,1963.0,434.0,682.0,273.0,1.5817,97800.0,INLAND
3960,3960,-118.6,34.21,19.0,2581.0,857.0,2004.0,784.0,2.6159,182300.0,<1H OCEAN
10890,10890,-117.86,33.73,31.0,1115.0,268.0,1369.0,259.0,3.5694,150500.0,<1H OCEAN
18754,18754,-122.36,40.69,32.0,3611.0,772.0,2060.0,759.0,1.7427,60600.0,INLAND
12857,12857,-121.38,38.67,37.0,2176.0,460.0,1067.0,357.0,2.3958,78400.0,INLAND
2091,2091,-119.78,36.75,49.0,1175.0,307.0,982.0,278.0,1.2937,52000.0,INLAND
14557,14557,-117.21,32.96,3.0,6251.0,988.0,2330.0,893.0,8.4355,467600.0,NEAR OCEAN
4936,4936,-118.27,34.0,43.0,1258.0,381.0,1276.0,358.0,1.8917,106900.0,<1H OCEAN
5824,5824,-118.29,34.18,36.0,3120.0,620.0,1441.0,612.0,3.9041,320400.0,<1H OCEAN
14991,14991,-117.03,32.73,38.0,3174.0,606.0,1557.0,619.0,3.5861,123600.0,NEAR OCEAN
9672,9672,-119.08,37.78,17.0,1631.0,335.0,285.0,128.0,2.7656,130000.0,INLAND
15535,15535,-117.14,33.12,7.0,6126.0,1032.0,2662.0,923.0,4.9005,264000.0,<1H OCEAN
17871,17871,-122.07,37.44,21.0,4599.0,986.0,2756.0,943.0,2.9817,225000.0,NEAR BAY
11541,11541,-118.02,33.76,27.0,2905.0,587.0,1781.0,561.0,4.25,214800.0,<1H OCEAN
12450,12450,-114.56,33.69,17.0,720.0,174.0,333.0,117.0,1.6509,85700.0,INLAND
1639,1639,-122.18,37.89,18.0,4845.0,735.0,1634.0,734.0,8.1489,499000.0,NEAR BAY
5647,5647,-118.29,33.74,29.0,1503.0,411.0,1368.0,390.0,2.1473,195300.0,NEAR OCEAN
16237,16237,-121.29,37.98,49.0,2501.0,565.0,1171.0,550.0,2.5043,76700.0,INLAND
16691,16691,-120.61,35.13,16.0,3431.0,721.0,1777.0,701.0,2.7301,190400.0,<1H OCEAN
470,470,-122.29,37.86,52.0,1665.0,404.0,815.0,372.0,1.9946,156900.0,NEAR BAY
3185,3185,-119.79,36.3,16.0,1717.0,277.0,903.0,289.0,4.3438,93100.0,INLAND
6635,6635,-118.16,34.15,19.0,1721.0,290.0,571.0,278.0,6.6031,500001.0,<1H OCEAN
16241,16241,-121.29,37.99,30.0,1271.0,528.0,2019.0,524.0,1.5152,81300.0,INLAND
17912,17912,-121.98,37.36,35.0,1293.0,223.0,701.0,216.0,7.8543,281900.0,<1H OCEAN
471,471,-122.28,37.86,52.0,1659.0,367.0,788.0,346.0,2.8214,164300.0,NEAR BAY
19214,19214,-122.7,38.45,26.0,2011.0,557.0,855.0,530.0,1.125,233300.0,<1H OCEAN
10090,10090,-117.97,33.93,31.0,1975.0,373.0,918.0,347.0,4.4107,202000.0,<1H OCEAN
6459,6459,-118.04,34.1,39.0,2302.0,412.0,1590.0,406.0,4.8017,273800.0,INLAND
6561,6561,-118.13,34.21,36.0,1449.0,235.0,621.0,210.0,6.1824,274100.0,INLAND
19953,19953,-119.33,36.22,29.0,1735.0,323.0,805.0,293.0,3.5039,89900.0,INLAND
6203,6203,-117.9,34.08,32.0,5482.0,1251.0,3426.0,1117.0,3.2943,204400.0,<1H OCEAN
16557,16557,-121.27,37.82,26.0,1170.0,238.0,830.0,216.0,2.6458,127500.0,INLAND
15652,15652,-122.41,37.8,52.0,3260.0,1535.0,3260.0,1457.0,0.9,500001.0,NEAR BAY
6652,6652,-118.14,34.15,17.0,1896.0,674.0,971.0,652.0,0.8438,175000.0,<1H OCEAN
7369,7369,-118.21,33.97,52.0,4220.0,908.0,3731.0,892.0,3.1901,167600.0,<1H OCEAN
15568,15568,-117.04,33.09,16.0,4677.0,581.0,1902.0,566.0,6.1834,335600.0,<1H OCEAN
1813,1813,-122.31,37.91,39.0,2955.0,696.0,1417.0,682.0,2.7628,167800.0,NEAR BAY
14304,14304,-117.14,32.71,52.0,1225.0,332.0,955.0,321.0,1.6011,106300.0,NEAR OCEAN
7159,7159,-118.16,34.04,38.0,1076.0,286.0,1535.0,323.0,2.7026,145000.0,<1H OCEAN
11938,11938,-117.41,33.94,29.0,3181.0,714.0,1603.0,706.0,3.25,112500.0,INLAND
16620,16620,-120.94,35.42,18.0,3418.0,686.0,970.0,453.0,3.7738,279400.0,NEAR OCEAN
11651,11651,-118.05,33.85,25.0,2856.0,388.0,1212.0,362.0,6.1737,313100.0,<1H OCEAN
1574,1574,-122.03,37.83,24.0,5948.0,738.0,1997.0,710.0,9.8708,500001.0,NEAR BAY
13805,13805,-117.03,34.91,27.0,2718.0,583.0,1472.0,509.0,2.825,76600.0,INLAND
18741,18741,-122.35,40.57,18.0,2226.0,490.0,859.0,451.0,1.6821,69400.0,INLAND
15710,15710,-122.44,37.79,52.0,1903.0,461.0,831.0,433.0,4.4464,500001.0,NEAR BAY
16977,16977,-122.31,37.57,31.0,2197.0,477.0,1193.0,394.0,4.6371,271100.0,NEAR OCEAN
4328,4328,-118.33,34.08,50.0,2989.0,832.0,1345.0,775.0,3.2426,442900.0,<1H OCEAN
1465,1465,-121.97,37.95,8.0,4253.0,709.0,1883.0,662.0,5.431,246700.0,INLAND
12770,12770,-121.42,38.63,42.0,1385.0,273.0,740.0,274.0,2.6055,78000.0,INLAND
4812,4812,-118.37,34.02,44.0,1944.0,458.0,981.0,377.0,2.6154,193200.0,<1H OCEAN
17041,17041,-122.28,37.51,33.0,4719.0,,1980.0,757.0,6.1064,405000.0,NEAR OCEAN
16606,16606,-120.67,35.62,6.0,12779.0,2441.0,6085.0,2157.0,3.8661,168100.0,<1H OCEAN
19568,19568,-120.95,37.6,35.0,1493.0,278.0,729.0,268.0,2.9821,97400.0,INLAND
19887,19887,-119.12,36.29,29.0,1638.0,323.0,942.0,322.0,2.1731,66200.0,INLAND
18175,18175,-122.01,37.35,16.0,3716.0,916.0,1551.0,759.0,4.5,323600.0,<1H OCEAN
5252,5252,-118.47,34.1,32.0,8041.0,1141.0,2768.0,1106.0,11.1978,500001.0,<1H OCEAN
2495,2495,-120.22,36.49,14.0,1508.0,347.0,1679.0,345.0,2.4786,56000.0,INLAND
6225,6225,-117.93,34.05,32.0,3055.0,623.0,1902.0,565.0,4.2926,190700.0,<1H OCEAN
20400,20400,-118.85,34.21,25.0,1328.0,209.0,691.0,228.0,4.9234,241400.0,<1H OCEAN
15048,15048,-116.95,32.77,25.0,3308.0,421.0,1201.0,414.0,6.3191,303400.0,<1H OCEAN
2313,2313,-119.7,36.94,15.0,1449.0,277.0,649.0,265.0,2.4861,86300.0,INLAND
13201,13201,-117.7,34.06,7.0,732.0,145.0,431.0,132.0,2.9107,95300.0,INLAND
1213,1213,-120.54,38.07,37.0,736.0,148.0,339.0,140.0,2.2875,79900.0,INLAND
16298,16298,-121.22,37.96,31.0,1484.0,314.0,1163.0,336.0,2.625,72100.0,INLAND
20121,20121,-120.45,37.79,8.0,2687.0,495.0,5087.0,385.0,3.1719,115400.0,INLAND
12078,12078,-117.52,33.84,20.0,688.0,146.0,575.0,144.0,3.55,111000.0,INLAND
16245,16245,-121.26,37.98,32.0,3274.0,820.0,2050.0,738.0,2.1265,55700.0,INLAND
16001,16001,-122.45,37.75,36.0,2303.0,381.0,862.0,371.0,6.0274,349000.0,NEAR BAY
10160,10160,-117.96,33.9,10.0,2423.0,356.0,1213.0,347.0,6.5635,346900.0,<1H OCEAN
19209,19209,-122.71,38.46,42.0,1574.0,376.0,844.0,369.0,2.314,169400.0,<1H OCEAN
16171,16171,-122.5,37.79,52.0,8.0,1.0,13.0,1.0,15.0001,500001.0,NEAR BAY
2530,2530,-122.2,39.52,39.0,2551.0,482.0,1181.0,437.0,2.0625,63400.0,INLAND
9047,9047,-118.09,34.71,5.0,5807.0,1182.0,2602.0,1007.0,2.4012,159400.0,INLAND
16187,16187,-121.3,37.96,24.0,1212.0,366.0,1202.0,343.0,1.7875,76800.0,INLAND
15743,15743,-122.43,37.78,29.0,1310.0,364.0,1009.0,379.0,1.3844,177500.0,NEAR BAY
3856,3856,-118.43,34.17,33.0,1679.0,404.0,933.0,412.0,2.6979,266000.0,<1H OCEAN
5514,5514,-118.4,33.99,39.0,1613.0,380.0,1113.0,356.0,2.825,276700.0,<1H OCEAN
9551,9551,-120.88,37.37,24.0,1294.0,222.0,684.0,221.0,2.6908,103100.0,INLAND
13956,13956,-117.06,34.17,21.0,2520.0,582.0,416.0,151.0,2.7119999999999997,89000.0,INLAND
9553,9553,-120.64,37.38,21.0,3157.0,637.0,2268.0,620.0,2.5669999999999997,70400.0,INLAND
8426,8426,-118.35,33.92,24.0,2728.0,845.0,2023.0,773.0,2.75,239700.0,<1H OCEAN
20265,20265,-119.19,34.21,34.0,3413.0,693.0,2223.0,651.0,3.8239,208200.0,NEAR OCEAN
9750,9750,-121.69,36.62,19.0,1907.0,323.0,681.0,270.0,6.0332,244900.0,<1H OCEAN
16936,16936,-122.32,37.56,49.0,2016.0,299.0,691.0,288.0,5.5489999999999995,500001.0,NEAR OCEAN
472,472,-122.29,37.87,52.0,2225.0,460.0,1145.0,430.0,2.6165,150000.0,NEAR BAY
11810,11810,-121.07,38.92,15.0,5301.0,884.0,2335.0,831.0,4.515,164000.0,INLAND
12662,12662,-121.42,38.5,24.0,7740.0,1539.0,4333.0,1397.0,3.025,87900.0,INLAND
12872,12872,-121.35,38.7,5.0,14414.0,2979.0,7608.0,2832.0,3.5802,129600.0,INLAND
10579,10579,-117.69,33.64,16.0,2592.0,372.0,1279.0,383.0,6.9741,262000.0,<1H OCEAN
18296,18296,-122.12,37.39,34.0,3561.0,497.0,1336.0,501.0,8.9172,500001.0,NEAR BAY
11886,11886,-117.37,33.99,44.0,917.0,224.0,666.0,220.0,1.685,114200.0,INLAND
2561,2561,-124.15,40.8,47.0,1486.0,335.0,765.0,329.0,1.755,74100.0,NEAR OCEAN
524,524,-122.23,37.77,52.0,772.0,179.0,409.0,160.0,3.3214,189600.0,NEAR BAY
2623,2623,-124.07,40.81,23.0,2103.0,411.0,1019.0,387.0,2.9911,119700.0,NEAR OCEAN
19722,19722,-121.76,38.94,48.0,540.0,110.0,234.0,74.0,3.6111,67500.0,INLAND
2231,2231,-119.78,36.84,7.0,4907.0,1075.0,2014.0,909.0,3.2147,111900.0,INLAND
16073,16073,-122.49,37.75,52.0,2226.0,385.0,1177.0,416.0,4.8516,323800.0,NEAR OCEAN
11829,11829,-120.87,39.18,25.0,2691.0,598.0,964.0,373.0,3.9196,142700.0,INLAND
11384,11384,-117.95,33.66,26.0,1787.0,227.0,639.0,224.0,6.8226,329800.0,<1H OCEAN
11383,11383,-117.95,33.67,25.0,1799.0,233.0,810.0,265.0,8.289,372400.0,<1H OCEAN
16898,16898,-122.37,37.58,52.0,1900.0,290.0,665.0,276.0,4.5486,500001.0,NEAR OCEAN
18081,18081,-122.03,37.27,25.0,4460.0,553.0,1608.0,561.0,10.7958,500001.0,<1H OCEAN
10508,10508,-117.68,33.52,5.0,3621.0,632.0,1546.0,567.0,5.752999999999999,322800.0,<1H OCEAN
20129,20129,-118.93,34.4,17.0,3275.0,599.0,2422.0,637.0,3.7092,190500.0,<1H OCEAN
19412,19412,-121.01,37.74,14.0,2368.0,297.0,796.0,301.0,8.7783,435000.0,INLAND
1154,1154,-121.49,39.52,25.0,848.0,153.0,436.0,155.0,3.9028,93800.0,INLAND
13720,13720,-117.18,34.07,28.0,1306.0,279.0,885.0,255.0,2.1154,75300.0,INLAND
16513,16513,-121.22,37.81,17.0,2879.0,542.0,1802.0,530.0,3.6378,126100.0,INLAND
13510,13510,-117.34,34.13,29.0,331.0,85.0,341.0,107.0,0.7069,70300.0,INLAND
5434,5434,-118.42,34.01,33.0,2731.0,535.0,1280.0,510.0,4.7083,420100.0,<1H OCEAN
6313,6313,-117.98,34.02,33.0,3512.0,632.0,1971.0,598.0,4.4653,193200.0,<1H OCEAN
11493,11493,-117.99,33.69,12.0,2480.0,858.0,1441.0,788.0,1.6705,350000.0,<1H OCEAN
17439,17439,-120.45,34.63,32.0,1840.0,309.0,828.0,333.0,4.5486,172400.0,NEAR OCEAN
10906,10906,-117.85,33.74,19.0,1248.0,357.0,1214.0,328.0,2.7059,159800.0,<1H OCEAN
10068,10068,-120.17,39.33,18.0,1046.0,204.0,486.0,179.0,4.119,110900.0,INLAND
11355,11355,-117.93,33.74,15.0,1206.0,282.0,677.0,270.0,3.9219,142600.0,<1H OCEAN
19358,19358,-123.02,38.81,45.0,1717.0,389.0,916.0,367.0,3.2425,138800.0,<1H OCEAN
19487,19487,-120.99,37.67,28.0,1768.0,423.0,1066.0,392.0,1.8315,90500.0,INLAND
15421,15421,-117.28,33.2,11.0,1472.0,261.0,1012.0,285.0,4.21,175600.0,NEAR OCEAN
6686,6686,-118.07,34.15,45.0,1095.0,237.0,672.0,234.0,3.4087,209200.0,INLAND
7835,7835,-118.15,33.91,35.0,574.0,116.0,610.0,147.0,3.3182,133300.0,<1H OCEAN
10503,10503,-117.69,33.47,19.0,2595.0,621.0,1728.0,571.0,3.668,243800.0,<1H OCEAN
1119,1119,-121.57,39.78,18.0,2221.0,459.0,952.0,440.0,2.0458,105700.0,INLAND
16574,16574,-121.42,37.75,33.0,1329.0,266.0,683.0,233.0,4.3687,128700.0,INLAND
13999,13999,-116.9,34.69,10.0,337.0,102.0,108.0,50.0,0.4999,55000.0,INLAND
12545,12545,-121.5,38.55,49.0,4094.0,634.0,1363.0,659.0,5.2362,236800.0,INLAND
20481,20481,-118.7,34.28,27.0,727.0,136.0,467.0,144.0,3.7188,250000.0,<1H OCEAN
7734,7734,-118.15,33.93,30.0,3096.0,,1676.0,587.0,4.6583,207300.0,<1H OCEAN
3342,3342,-122.62,38.73,21.0,1425.0,,727.0,287.0,2.1474,85300.0,INLAND
1243,1243,-122.13,39.0,23.0,3832.0,,2435.0,747.0,2.2754,59200.0,INLAND
7573,7573,-118.21,33.9,43.0,1810.0,,1335.0,358.0,3.1189,118800.0,<1H OCEAN
8540,8540,-118.36,33.89,27.0,2837.0,,2141.0,648.0,3.1325,215000.0,<1H OCEAN
18642,18642,-121.99,36.98,25.0,2113.0,,1365.0,439.0,4.6484,234600.0,NEAR OCEAN
1821,1821,-122.29,37.92,35.0,583.0,,235.0,84.0,5.943,288200.0,NEAR BAY
16426,16426,-121.42,38.22,35.0,1507.0,,868.0,283.0,2.0284,96300.0,INLAND
9437,9437,-119.95,37.47,32.0,1312.0,,600.0,265.0,1.5,91500.0,INLAND
8382,8382,-118.36,33.96,25.0,1849.0,,1498.0,451.0,2.8378,170000.0,<1H OCEAN
11378,11378,-117.95,33.69,26.0,1417.0,,817.0,261.0,4.875,230400.0,<1H OCEAN
17702,17702,-121.83,37.32,17.0,1887.0,,1906.0,597.0,2.5652,165300.0,<1H OCEAN
5600,5600,-118.27,33.79,39.0,1513.0,,1227.0,354.0,3.3929,184600.0,<1H OCEAN
17471,17471,-119.81,34.46,22.0,3488.0,,1479.0,458.0,7.1687,384400.0,NEAR OCEAN
4183,4183,-118.23,34.13,48.0,737.0,,462.0,131.0,3.5893,212500.0,<1H OCEAN
234,234,-122.19,37.79,28.0,3144.0,,1737.0,669.0,2.9297,140500.0,NEAR BAY
6036,6036,-117.73,34.06,34.0,344.0,,315.0,119.0,3.1786,117800.0,INLAND
11054,11054,-117.86,33.78,25.0,2635.0,,1710.0,634.0,3.125,215000.0,<1H OCEAN
4716,4716,-118.38,34.06,28.0,2522.0,,991.0,574.0,3.1475,362500.0,<1H OCEAN
2544,2544,-124.16,40.78,50.0,2285.0,,837.0,353.0,2.5417,85400.0,NEAR OCEAN
593,593,-122.09,37.7,30.0,1751.0,,731.0,263.0,6.005,263900.0,NEAR BAY
20393,20393,-118.88,34.22,16.0,2343.0,,2007.0,383.0,5.756,302700.0,<1H OCEAN
11997,11997,-117.55,33.94,30.0,5398.0,,2672.0,864.0,4.4762,163900.0,INLAND
8322,8322,-118.3,33.95,41.0,2057.0,,1805.0,506.0,1.2455,100800.0,<1H OCEAN
7111,7111,-118.02,33.9,34.0,2678.0,,1540.0,497.0,4.4954,202900.0,<1H OCEAN
12773,12773,-121.43,38.62,36.0,1765.0,,1008.0,382.0,2.0639,73000.0,INLAND
10996,10996,-117.83,33.74,23.0,6114.0,,4088.0,1521.0,3.0382,183600.0,<1H OCEAN
14426,14426,-117.25,32.8,32.0,1601.0,,731.0,429.0,2.5568,258300.0,NEAR OCEAN
137,137,-122.19,37.82,32.0,1835.0,,635.0,263.0,8.317,365900.0,NEAR BAY
13442,13442,-117.43,34.09,18.0,3172.0,,1621.0,573.0,2.7437,120200.0,INLAND
18016,18016,-121.97,37.26,19.0,2174.0,,998.0,426.0,4.6827,255100.0,<1H OCEAN
7778,7778,-118.08,33.91,30.0,3259.0,,2744.0,895.0,2.8608,165600.0,<1H OCEAN
12127,12127,-117.25,33.92,7.0,9812.0,,5595.0,1729.0,4.1482,124600.0,INLAND
18712,18712,-122.45,40.61,17.0,785.0,,417.0,136.0,2.3289,58200.0,INLAND
11163,11163,-118.0,33.83,24.0,2578.0,,1217.0,529.0,2.2401,212500.0,<1H OCEAN
19272,19272,-122.76,38.44,11.0,2895.0,,1633.0,534.0,4.7283,170200.0,<1H OCEAN
6593,6593,-118.18,34.17,43.0,4269.0,,1467.0,582.0,9.0702,500001.0,<1H OCEAN
7635,7635,-118.29,33.83,24.0,4092.0,,2819.0,893.0,4.1378,216500.0,<1H OCEAN
14218,14218,-117.05,32.68,19.0,1469.0,,1010.0,292.0,3.5664,150400.0,NEAR OCEAN
10644,10644,-117.81,33.56,24.0,6258.0,,1730.0,752.0,10.9601,500001.0,<1H OCEAN
1842,1842,-122.29,37.91,40.0,2085.0,,796.0,339.0,5.5357,273700.0,NEAR BAY
1163,1163,-121.55,39.51,39.0,1551.0,,684.0,310.0,2.0357,57600.0,INLAND
13017,13017,-121.2,38.7,28.0,2970.0,,1379.0,463.0,4.3214,131700.0,INLAND
6351,6351,-117.94,34.14,33.0,1620.0,,868.0,275.0,5.4110000000000005,219400.0,INLAND
16576,16576,-121.43,37.75,41.0,1717.0,,855.0,303.0,2.75,127300.0,INLAND
8388,8388,-118.37,33.97,26.0,6672.0,,3333.0,1557.0,2.9646,179800.0,<1H OCEAN
19943,19943,-119.36,36.22,10.0,2445.0,,1262.0,476.0,1.9355,68300.0,INLAND
10461,10461,-117.65,33.46,19.0,7034.0,,2824.0,1068.0,6.0873,277300.0,<1H OCEAN
11745,11745,-121.14,38.77,15.0,10282.0,,3868.0,1300.0,6.4789,287800.0,INLAND
17847,17847,-121.88,37.41,23.0,3224.0,,2183.0,655.0,4.3807,226900.0,<1H OCEAN
7253,7253,-118.14,34.01,36.0,702.0,210.0,834.0,216.0,2.25,162500.0,<1H OCEAN
4424,4424,-118.25,34.06,20.0,41.0,17.0,87.0,25.0,1.5491,225000.0,<1H OCEAN
1552,1552,-121.97,37.79,17.0,5688.0,824.0,2111.0,773.0,6.6131,312500.0,<1H OCEAN
5403,5403,-118.43,34.03,36.0,1552.0,388.0,867.0,352.0,3.6467,346700.0,<1H OCEAN
17279,17279,-119.75,34.4,31.0,1997.0,299.0,826.0,301.0,6.8927,500001.0,NEAR OCEAN
17103,17103,-122.23,37.45,34.0,4177.0,723.0,1586.0,660.0,5.0457,395100.0,NEAR OCEAN
7993,7993,-118.15,33.85,30.0,4071.0,1067.0,2144.0,970.0,2.7268,218100.0,<1H OCEAN
19536,19536,-120.93,37.65,1.0,2254.0,328.0,402.0,112.0,4.25,189200.0,INLAND
14049,14049,-117.13,32.76,27.0,2280.0,695.0,1235.0,664.0,1.9392,142900.0,NEAR OCEAN
