file_name,description,documentation,chapter
a01008ad,Germany Index of Industrial Production 1919-1931,"VAR 0032      01008A ITRIAL 1R 919-931               MD= 1E-37
REF 0032         LOC  249 WIDTH  9             DK   4 COL 62-70


INDEX OF INDUSTRIAL PRODUCTION
------------------------------

NBER SERIES:  01008A
AREA COVERED:  GERMANY
UNITS:  1928=100
ANNUAL COVERAGE:  1919-1931
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  INSTITUT FUR KONJUNKTURFORSCHUNG, VIERTELJAHRSHEFTE
ZUR KONJUNKTURFORSCHUNG, SONDERHEFT 31, PP. 23, 28, 64.

NOTES:  SERIES 01008A IS PRESENTED HERE AS FIVE
VARIBLES--(1)--ORIGINAL DATA, 1860-1913  (2)--ORIGINAL DATA,
1913-1931  (3)--ORIGINAL DATA, 1925-1937  (4)--ORIGINAL
DATA, 1919-1931  (5)--ORIGINAL DATA, 1925-1937.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
a01008ae,Germany Index of Production 1925-1937,"VAR 0033      01008A ITRIAL 1R 925-937               MD= 1E-37
REF 0033         LOC  258 WIDTH  9             DK   4 COL 71-79


INDEX OF PRODUCTION
-------------------

NBER SERIES:  01008A
AREA COVERED:  GERMANY
UNITS:  1928=100
ANNUAL COVERAGE:  1925-1937
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  INSTITUT FUR KONJUNKTURFORSCHUNG, WOCHENBRICHT,
JUNE 1, 1935, P. 97.

NOTES:  SERIES 01008A IS PRESENTED HERE AS FIVE
VARIBLES--(1)--ORIGINAL DATA, 1860-1913  (2)--ORIGINAL DATA,
1913-1931  (3)--ORIGINAL DATA, 1925-1937  (4)--ORIGINAL
DATA, 1919-1931  (5)--ORIGINAL DATA, 1925-1937.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
a01008b,"U.S. Index of Crop Production, Industrial Production and Trade 1921-1932","VAR 0008      01008 PHY PRO 1R 921-932               MD= 1E-37
REF 0008         LOC   33 WIDTH  9             DK   1 COL 35-43
EXP DEC=  1

INDEX OF CROP PRODUCTION, INDUSTRIAL PRODUCTION AND TRADE
---------------------------------------------------------

NBER SERIES:  01008
AREA COVERED:  U.S.
UNITS:  1923-1925=100
ANNUAL COVERAGE:  1921-1932
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  WARREN M. PERSONS AND LE BARON K. FOSTER,""A NEW
INDEX OF INDUSTRIAL PRODUCTION AND TRADE"", REVIEW OF
ECONOMIC STATISTICS, AUGUST 1933, P. 156.

NOTES:  SERIES 01008 IS PRESENTED HERE AS TWO
VARIABLES-(1)--ORIGINAL DATA DATA, 1863-1921  (2)--ORIGINAL
DATA, 1921-1932.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
a01008ba,"France Index of Industrial Production, Total 1898-1938","VAR 0039      01008B UCTION 1R 898-938               MD= 1E-37
REF 0039         LOC  312 WIDTH  9             DK   5 COL 62-70


INDEX OF INDUSTRIAL PRODUCTION, TOTAL
-------------------------------------

NBER SERIES:  01008B
AREA COVERED:  FRANCE
UNITS:  1913=100
ANNUAL COVERAGE:  1898-1938
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  STATISTIQUE GENERALE DE LA FRANCE, DATA FOR
1898-1930:  INDICES GENERAUX DU MOUVEMENT ECONOMIQUE EN
FRANCE DE 1901 A 1931.  DATA FOR 1931-1938:  BULLETIN DE LA
STATISTIQUE GENERALE, SUCCESSIVE ISSUES.

NOTES:  SERIES 01008B IS PRESENTED HERE AS TWO
VARIABLES--(1)--ORIGINAL DATA, 1898-1938  (2)--ORIGINAL
DATA, 1928-1938.
THIS INDEX REPRESENTS ANNUAL AVERAGES OF MONTHLY
FIGURES IN SERIES 01004B (INDUSTRIAL PRODUCTION); DATA ARE
MORE COMPREHENSIVE THAN MONTHLY DATA OF SERIES 01004B.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
a01008bb,France Index of Industrial Production 1928-1938,"VAR 0040      01008B UCTION 1R 928-938               MD= 1E-37
REF 0040         LOC  321 WIDTH  9             DK   5 COL 71-79


INDEX OF INDUSTRIAL PRODUCTION
------------------------------

NBER SERIES:  01008B
AREA COVERED:  FRANCE
UNITS:  1928=100
ANNUAL COVERAGE:  1928-1938
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  BULLETIN DE LA STATISTIQUE GENERALE, APRIL/JUNE
193, PP. 492-494.

NOTES:  SERIES 01008B IS PRESENTED HERE AS TWO
VARIABLES--(1)--ORIGINAL DATA, 1898-1938  (2)--ORIGINAL
DATA, 1928-1938.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
a01009,U.S. Wheat Crop 1866-1952,"VAR 0100      01009 EAT ROP 1R 866-952               MD= 1E-37
REF 0100         LOC  861 WIDTH  9             DK  14 COL 44-52


WHEAT CROP
----------

NBER SERIES:  01009
AREA COVERED:  U.S.
UNITS:  MILLIONS OF BUSHELS
ANNUAL COVERAGE:  1866-1952
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  DATA FOR 1866-1910:  WHEAT STUDIES OF THE FOOD
RESEARCH INSTITUTE, VOLUME II, NUMBER 7, 1926, PP. 260-261.
DATA FOR 1911-1943:  U.S. DEPARTMENT OF AGRICULTURE,
""AGRICULTURAL STATISTICS"", 1942, 1951.  DATA FOR 1944-1952:
CROP REPORTING BOARD,""CROP PRODUCTON"", MIMEOGRAPHED RELEASE
OF JULY 1, 1952.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
a01009a,U.S. Wheat Crop 1866-1952,"VAR 0101      01009A AT CRO 1R 866-952               MD= 1E-37
REF 0101         LOC  870 WIDTH  9             DK  14 COL 53-61


WHEAT CROP
----------

NBER SERIES:  01009A
AREA COVERED:  U.S.
UNITS:  MILLIONS OF BUSHELS
ANNUAL COVERAGE:  1866-1952
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  U.S. DEPARTMENT OF AGRICULTURE,""AGRICULTURAL
STATISTICS"", 1937, PP. 9-10;""CROPS AND MARKETS"", SEPTEMBER
1939;""AGRICULTURAL STATISTICS"", 1950; CROP REPORTING BOARD,
""CROP PRODUCTION"", 1951 ANNUAL SUMMARY.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
a01010a,U.K. Wheat Production 1852-1891,"VAR 0106      01010 WHEAT   1A 852-891               MD= 1E-37
REF 0106         LOC  915 WIDTH  9             DK  15 COL 35-43
EXP DEC=  1

WHEAT PRODUCTION
----------------

NBER SERIES:  01010
AREA COVERED:  UNITED KINGDOM
UNITS:  MILLIONS OF BUSHELS (SIXTY POUND BUSHELS)
ANNUAL COVERAGE:  1852-1891
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  J.B. LAWES AND J.K. GILBERT, ON THE HOME PRODUCE,
IMPORTS, CONSUMPTION, AND PRICE OF WHEAT, OVER FORTY HARVEST
YEARS, 1852-3 TO 1891-92; JOURNAL OF THE ROYAL AGRICULTURAL
SOCIETY OF ENGLAND, VOLUME 4, 1893, P. 132.

NOTES:  SERIES 01010 IS PRESENTED HERE AS TWO
VARIABLES--(1)--ORIGINAL DATA, 1852-1891  (2)--ORIGINAL
DATA, 1885-1938.
DATA ARE FOR AMERICAN SIXTY POUND BUSHELS CONVERTED
FROM QUARTERS OF EIGHT SIXTY-ONE POUND BUSHELS BY
MULTIPLYING ORIGINAL DATA BY 8.1333.

NOT CHECKED AGAINST ORIGINALS.


",01
a01010b,U.K. Wheat Crop 1885-1938,"VAR 0107      01010 WHEAT   1A 885-938               MD= 1E-37
REF 0107         LOC  924 WIDTH  9             DK  15 COL 44-52
EXP DEC=  1

WHEAT CROP
----------

NBER SERIES:  01010
AREA COVERED:  UNITED KINGDOM
UNITS:  MILLIONS OF BUSHELS (SIXTY POUNDS)
ANNUAL COVERAGE:  1885-1938
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  FOOD RESERATRCH INSTITUTE, WHEAT STUDIES, VOL. IX,
NO. 7 (APRIL 1933), P. 268; VOL. X, NO. 7 (MAY 1934), P.
278.

NOTES:  SERIES 01010 IS PRESENTED HERE AS TWO
VARIABLES--(1)--ORIGINAL DATA, 1852-1891  (2)--ORIGINAL
DATA, 1885-1938.
DATA EXCLUDE THE ISLE OF MAN AND THE CHANNEL ISLANDS.

NOT CHECKED AGAINST ORIGINALS.


",01
a01011a,Germany Wheat Crop 1878-1898,"VAR 0108      01011 WHEAT   1A 878-898               MD= 1E-37
REF 0108         LOC  933 WIDTH  9             DK  15 COL 53-61
EXP DEC=  1

WHEAT CROP
----------

NBER SERIES:  01011
AREA COVERED:  GERMANY
UNITS:  MILLIONS OF BUSHELS (SIXTY POUNDS)
ANNUAL COVERAGE:  1878-1898
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  DATA FOR 1878-1885:  STATISTICHES HANDBUCH, I,
1907, P. 148.  DATA FOR 1886-1898:  STATISTICHES JAHRBUCH,
1890 AND SUCCESSIVE ISSUES.

NOTES:  SERIES 01011 IS PRESENTED HERE AS FOUR
VARIABLES--(1)--ORIGINAL DATA, 1878-1898  (2)--ORIGINAL
DATA, 1893-1917  (3)--ORIGINAL DATA, 1911-1937
(4)--ORIGINAL DATA, 1933-1944.
BUSHELS ARE CALCULATED BY NBER FROM ORIGINAL UNITS OF
METRIC TONS.
DATA FOR 1878-1898 ARE FOR ESTIMATES MADE IN MOST
STATES BY THE COMMUNAL AUTHORITIES.

NOT CHECKED AGAINST ORIGINALS.

",01
a01011b,Germany Wheat Crop 1893-1917,"VAR 0109      01011 WHEAT   1A 893-917               MD= 1E-37
REF 0109         LOC  942 WIDTH  9             DK  15 COL 62-70
EXP DEC=  1

WHEAT CROP
----------

NBER SERIES:  01011
AREA COVERED:  GERMANY
UNITS:  MILLIONS OF BUSHELS (SIXTY POUNDS)
ANNUAL COVERAGE:  1893-1917
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  DATA FOR 1893-1910:  STATISTICHES JAHRBUCH,
SUCCESSIVE ISSUES.  DATA FOR 1911-1917:  VIERTELJAHRSHEFTE
ZUR STATISTIK, 126, I, P. 51.

NOTES:  SERIES 01011 IS PRESENTED HERE AS FOUR
VARIABLES--(1)--ORIGINAL DATA, 1878-1898  (2)--ORIGINAL
DATA, 1893-1917  (3)--ORIGINAL DATA, 1911-1937
(4)--ORIGINAL DATA, 1933-1944.
BUSHELS ARE CALCULATED FROM ORIGINAL UNITS OF METRIC
TONS.
DATA ARE FOR ESTIMATES FROM YIELDS REPORTED BY FEDERAL
CROP REPORTER.

NOT CHECKED AGAINST ORIGINALS.


",01
a01011c,Germany Wheat Crop 1911-1937,"VAR 0110      01011 WHEAT   1A 911-937               MD= 1E-37
REF 0110         LOC  951 WIDTH  9             DK  15 COL 71-79
EXP DEC=  1

WHEAT CROP
----------

NBER SERIES:  01011
AREA COVERED:  GERMANY
UNITS:  MILLIONS OF BUSHELS (SIXTY POUNDS)
ANNUAL COVERAGE:  1911-1937
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  DATA FOR 1911-1919 AND 1934-1937:
VIERTELJAHRSHEFTE ZUR STATISTIK, 1926, I, P. 51; 135, I, P.
50; AND SUCCESSIVE ANNUAL ISSUES.  DATA FOR 1920-1933:
STATISTICHES JAHRBUCH, SUCCESSIVE ISSUES.

NOTES:  SERIES 01011 IS PRESENTED HERE AS FOUR
VARIABLES--(1)--ORIGINAL DATA, 1878-1898  (2)--ORIGINAL
DATA, 1893-1917  (3)--ORIGINAL DATA, 1911-1937
(4)--ORIGINAL DATA, 1933-1944.
BUSHELS ARE CALCULATED FROM ORIGINAL UNITS OF METRIC
TONS.
DATA ARE FOR MODERN GERMANY, EXCLUDING CEDED
TERRITORIES.
DATA FOR 1916-1919 ARE ESTIMATES BASED ON INFORMATION
FROM INDIVIDUAL FARMERS.

NOT CHECKED AGAINST ORIGINALS.


",01
a01011d,Germany Wheat Crop 1933-1944,"VAR 0111      01011 WHEAT   1A 933-944               MD= 1E-37
REF 0111         LOC  960 WIDTH  9             DK  16 COL 17-25
EXP DEC=  1

WHEAT CROP
----------

NBER SERIES:  01011
AREA COVERED:  GERMANY
UNITS:  MILLIONS OF BUSHELS (SIXTY POUNDS)
ANNUAL COVERAGE:  1933-1944
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  DATA FOR 1933-1935:  INTERNATIONAL INSTITUTE OF
AGRICULTURE, YEARBOOK OF AGRICULTURAL STATISTICS, 1939/1940,
TABLE 73.  DATA FOR 1936-1944:  VIERTELJAHRSHEFTE ZUR
STATISTIK, 1935, I, AND SUCCESSIVE ISSUES.

NOTES:  SERIES 01011 IS PRESENTED HERE AS FOUR
VARIABLES--(1)--ORIGINAL DATA, 1878-1898  (2)--ORIGINAL
DATA, 1893-1917  (3)--ORIGINAL DATA, 1911-1937
(4)--ORIGINAL DATA, 1933-1944.
BUSHELS ARE CALCULATED FROM ORIGINAL UNITS OF METRIC
TONS.
DATA INCLUDE THE SAARLAND.

NOT CHECKED AGAINST ORIGINALS.


",01
a01012a,France Wheat Crop 1815-1919,"VAR 0112      01012 WHEAT   1A 815-919               MD= 1E-37
REF 0112         LOC  969 WIDTH  9             DK  16 COL 26-34
EXP DEC=  1

WHEAT CROP
----------

NBER SERIES:  01012
AREA COVERED:  FRANCE
UNITS:  MILLIONS OF BUSHELS (SIXTY POUNDS)
ANNUAL COVERAGE:  1815-1919
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  STATISTIQUE AGRICOLE ANNUELLE, 1929, PP. 180-184.

NOTES:  SERIES 01012 IS PRESENTED HERE AS TWO
VARIABLES--(1)--ORIGINAL DATA, 1815-1919  (2)--ORIGINAL
DATA, 1919-1938.
ORIGINAL DATA GIVEN IN QUINTALS, CONVERTED TO BUSHELS
BY USING THE EQUIVALENT--ONE QUINTAL=3.67437 BUSHELS.

DATA FOR 1870 ARE BASED ON ESTIMATES; DATA FOR
1871-1919 EXCLUDE ALSACE-LORRAINE.

NOT CHECKED AGAINST ORIGINALS.


",01
a01012b,France Wheat Crop 1919-1938,"VAR 0113      01012 WHEAT   1A 919-938               MD= 1E-37
REF 0113         LOC  978 WIDTH  9             DK  16 COL 35-43
EXP DEC=  1

WHEAT CROP
----------

NBER SERIES:  01012
AREA COVERED:  FRANCE
UNITS:  MILLIONS OF BUSHELS (SIXTY POUNDS)
ANNUAL COVERAGE:  1919-1938
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  STATISTIQUE AGRICOLE ANNUELLE, 1929, PP. 180-184,
AND FOLLOWING ISSUES; BULLETIN DE STATISTIQUE GENERALE.

NOTES:  SERIES 01012 IS PRESENTED HERE AS TWO
VARIABLES--(1)--ORIGINAL DATA, 1815-1919  (2)--ORIGINAL
DATA, 1919-1938.
ORIGINAL DATA GIVEN IN QUINTALS, CONVERTED TO BUSHELS
BY USING THE EQUIVALENT--ONE QUINTAL=3.67437 BUSHELS.

NOT CHECKED AGAINST ORIGINALS.


",01
a01013,World Wheat Crop 1885-1938,"VAR 0105      01013 WEATCRP 1R 885-938               MD= 1E-37
REF 0105         LOC  906 WIDTH  9             DK  15 COL 26-34


WHEAT CROP
----------

NBER SERIES:  01013
AREA COVERED:  WORLD
UNITS:  MILLIONS OF BUSHELS OF SIXTY POUNDS
ANNUAL COVERAGE:  1885-1938
QUARTERLY COVERAGE:  NONE
MONTHLY COVERAGE:  NONE
SEASONAL ADJUSTMENT:  NONE
SOURCE:  FOOD RESEARCH INSITUTE, WHEAT STUDIES, VOLUME IX,
NO. 7, APRIL 1933, P. 264; VOL. X, NO. 3, DECEMBER 1933, P.
120; DECEMBER 1940; DECEMBER 1941; NOVEMBER 1943.

NOTES:  DATA EXCLUDE LARGE WHEAT PRODUCING AREAS IN CHINA
AND SOUTHWESTERN ASIA, AND ALSO NUMEROUS INSIGNIFICANT
PRODUCING AREAS.  DATA INCLUDE RUSSIA.
DATA FOR 1933-1938 ARE NOT STRICTLY COMPARABLE WITH
EARLIER FIGURES.

CHECKED MANUALLY; NO CORRECTIONS NECESSARY.


",01
